spatial frequency [cyc/pix],diameter112mm,diameter131mm,diameter151mm,diameter185mm,diameter216mm,diameter292mm,Series
0.4331,5.8106,6.497,13.5133,44.5612,60.7103,55.6003,REDCNN-TV
0.4409,5.4702,5.9976,11.1985,39.0506,52.1224,51.6043,REDCNN-TV
0.4488,5.2517,5.682,9.3415,33.227,48.9932,51.8153,REDCNN-TV
0.4567,4.9461,5.2153,8.088,28.3159,43.9096,48.8327,REDCNN-TV
0.4646,4.7892,5.049,6.997,23.5019,39.7525,45.6617,REDCNN-TV
0.4724,4.5693,4.8575,6.245,21.2192,35.1757,44.4868,REDCNN-TV
0.4803,4.3977,4.6246,5.6555,17.7524,32.123,43.0747,REDCNN-TV
0.4882,4.2265,4.4648,5.0408,15.5331,29.55,40.6724,REDCNN-TV
0.4961,4.151,4.3122,4.8315,13.9208,27.8348,40.2304,REDCNN-TV
0.5039,3.1578,3.3777,4.1785,10.8188,23.9025,37.442,REDCNN-TV
0.5118,2.2276,2.6199,3.4602,8.6958,19.9409,34.5881,REDCNN-TV
0.5197,1.7585,2.1251,2.9293,7.3779,16.9558,33.1125,REDCNN-TV
0.5276,1.4771,1.7839,2.4853,5.6667,14.2931,31.1065,REDCNN-TV
0.5354,1.2956,1.4844,2.1892,4.7117,12.3293,27.6042,REDCNN-TV
0.5433,1.2158,1.3003,1.9547,3.7694,10.3561,26.6156,REDCNN-TV
0.5512,1.1866,1.1943,1.6961,2.993,9.0665,23.9428,REDCNN-TV
0.5591,1.17,1.1042,1.5102,2.4507,7.5045,23.255,REDCNN-TV
0.5669,1.1498,1.0234,1.4382,2.0072,6.6995,21.9782,REDCNN-TV
0.5748,1.2156,1.013,1.2495,1.678,5.4933,20.7886,REDCNN-TV
0.5827,1.2115,0.9886,1.1703,1.3591,4.7394,19.56,REDCNN-TV
0.5906,1.2148,1.0494,1.1275,1.1399,4.0338,18.2451,REDCNN-TV
0.5984,1.243,1.061,1.0383,0.9582,3.4873,17.6197,REDCNN-TV
0.6063,1.1952,1.0446,0.9062,0.8239,2.8562,15.9145,REDCNN-TV
0.6142,1.1951,1.0772,0.8528,0.7568,2.3063,15.4415,REDCNN-TV
0.622,1.0977,1.0603,0.7969,0.6789,2.0669,14.3012,REDCNN-TV
0.6299,1.0949,1.1661,0.7194,0.6564,1.7921,13.68,REDCNN-TV
0.6378,1.0678,1.0651,0.6471,0.6311,1.5799,12.9106,REDCNN-TV
0.6457,1.1361,1.1838,0.6371,0.6245,1.3392,12.2994,REDCNN-TV
0.6535,1.0489,1.1901,0.6153,0.529,1.2502,12.4056,REDCNN-TV
0.6614,1.0589,1.3112,0.5998,0.5323,1.1529,12.6329,REDCNN-TV
0.6693,1.1148,1.32,0.616,0.5888,0.9701,12.1958,REDCNN-TV
0.6772,1.0742,1.2646,0.5921,0.504,1.0662,13.4516,REDCNN-TV
0.685,1.1792,1.2873,0.558,0.496,0.9692,12.9751,REDCNN-TV
0.6929,1.2172,1.7789,0.4952,0.5289,0.8659,12.5578,REDCNN-TV
0.7008,1.113,2.3785,0.6185,0.5024,1.0856,11.3396,REDCNN-TV
